order_number,failure_mode_name,equipment_type,source,confidence,evidence
WO-2023503,Overheating,motor,import,1.000,Work order text identifies overheating on M-130.
WO-2023505,Tube fouling,heat_exchanger,import,1.000,Work order text identifies tube fouling on HX-114.
WO-2023506,Pulley bearing failure,conveyor,import,0.850,Work order text identifies pulley bearing failure on CV-131.
WO-2023507,Low heat transfer,heat_exchanger,import,1.000,Work order text identifies low heat transfer on HX-149.
WO-2023508,Bearing failure,motor,import,1.000,Work order text identifies bearing failure on M-116.
WO-2023509,High discharge temperature,compressor,import,0.850,Work order text identifies high discharge temperature on C-133.
WO-2023510,Seal leakage,pump,import,1.000,Work order text identifies seal leakage on P-150.
WO-2023512,Imbalance,fan,import,1.000,Work order text identifies imbalance on F-134.
WO-2023514,Stem leakage,valve,import,1.000,Work order text identifies stem leakage on V-118.
WO-2023516,Insulation breakdown,motor,import,1.000,Work order text identifies insulation breakdown on M-102.
WO-2023517,Low capacity,compressor,import,0.850,Work order text identifies low capacity on C-119.
WO-2023518,Overheating,motor,import,1.000,Work order text identifies overheating on M-137.
WO-2023520,Tube fouling,heat_exchanger,import,1.000,Work order text identifies tube fouling on HX-121.
WO-2023521,Pulley bearing failure,conveyor,import,1.000,Work order text identifies pulley bearing failure on CV-138.
WO-2023523,Cavitation,pump,import,1.000,Work order text identifies cavitation on P-122.
WO-2023525,Bearing failure,fan,import,1.000,Work order text identifies bearing failure on F-106.
WO-2023527,High discharge temperature,compressor,import,1.000,Work order text identifies high discharge temperature on C-140.
WO-2023528,Low heat transfer,heat_exchanger,import,0.850,Work order text identifies low heat transfer on HX-107.
WO-2023529,Stem leakage,valve,import,1.000,Work order text identifies stem leakage on V-125.
WO-2023531,Insulation breakdown,motor,import,1.000,Work order text identifies insulation breakdown on M-109.
WO-2023533,Bearing failure,pump,import,1.000,Work order text identifies bearing failure on P-143.
WO-2023534,Belt damage,conveyor,import,1.000,Work order text identifies belt damage on CV-110.
WO-2023536,Overheating,motor,import,1.000,Work order text identifies overheating on M-144.
WO-2023538,Tube fouling,heat_exchanger,import,1.000,Work order text identifies tube fouling on HX-128.
WO-2023539,Pulley bearing failure,conveyor,import,0.850,Work order text identifies pulley bearing failure on CV-145.
WO-2023540,Bearing failure,fan,import,1.000,Work order text identifies bearing failure on F-113.
WO-2023542,High discharge temperature,compressor,import,1.000,Work order text identifies high discharge temperature on C-147.
WO-2023544,Belt mistracking,conveyor,import,1.000,Work order text identifies belt mistracking on CV-131.
WO-2023546,Seal leakage,pump,import,1.000,Work order text identifies seal leakage on P-115.
WO-2023547,Stem leakage,valve,import,1.000,Work order text identifies stem leakage on V-132.
WO-2023549,Insulation breakdown,motor,import,1.000,Work order text identifies insulation breakdown on M-116.
WO-2023550,Low capacity,compressor,import,0.850,Work order text identifies low capacity on C-133.
WO-2023551,Bearing failure,pump,import,1.000,Work order text identifies bearing failure on P-101.
WO-2023553,Tube fouling,heat_exchanger,import,1.000,Work order text identifies tube fouling on HX-135.
WO-2023555,Oil carryover,compressor,import,1.000,Work order text identifies oil carryover on C-119.
WO-2023557,Pulley bearing failure,conveyor,import,1.000,Work order text identifies pulley bearing failure on CV-103.
WO-2023558,Bearing failure,fan,import,0.850,Work order text identifies bearing failure on F-120.
WO-2023559,Bearing failure,motor,import,1.000,Work order text identifies bearing failure on M-137.
WO-2023560,Passing valve,valve,import,1.000,Work order text identifies passing valve on V-104.
WO-2023561,Low heat transfer,heat_exchanger,import,0.850,Work order text identifies low heat transfer on HX-121.
WO-2023562,Stem leakage,valve,import,1.000,Work order text identifies stem leakage on V-139.
WO-2023564,Insulation breakdown,motor,import,1.000,Work order text identifies insulation breakdown on M-123.
WO-2023566,Tube leak,heat_exchanger,import,1.000,Work order text identifies tube leak on HX-107.
WO-2023568,Belt slippage,fan,import,1.000,Work order text identifies belt slippage on F-141.
WO-2023569,Bearing failure,pump,import,0.850,Work order text identifies bearing failure on P-108.
WO-2023570,Actuator failure,valve,import,1.000,Work order text identifies actuator failure on V-125.
WO-2023572,Overheating,motor,import,1.000,Work order text identifies overheating on M-109.
WO-2023573,Bearing failure,fan,import,1.000,Work order text identifies bearing failure on F-127.
WO-2023575,Passing valve,valve,import,1.000,Work order text identifies passing valve on V-111.
WO-2023577,Belt mistracking,conveyor,import,1.000,Work order text identifies belt mistracking on CV-145.
WO-2023579,Seal leakage,pump,import,1.000,Work order text identifies seal leakage on P-129.
WO-2023580,Stem leakage,valve,import,0.850,Work order text identifies stem leakage on V-146.
WO-2023581,Imbalance,fan,import,1.000,Work order text identifies imbalance on F-113.
WO-2023583,Low capacity,compressor,import,1.000,Work order text identifies low capacity on C-147.
WO-2023585,Actuator failure,valve,import,1.000,Work order text identifies actuator failure on V-132.
WO-2023586,Tube fouling,heat_exchanger,import,1.000,Work order text identifies tube fouling on HX-149.
WO-2023588,Oil carryover,compressor,import,1.000,Work order text identifies oil carryover on C-133.
WO-2023590,Pulley bearing failure,conveyor,import,1.000,Work order text identifies pulley bearing failure on CV-117.
WO-2023591,Bearing failure,fan,import,0.850,Work order text identifies bearing failure on F-134.
WO-2023592,Cavitation,pump,import,1.000,Work order text identifies cavitation on P-101.
WO-2023594,Low heat transfer,heat_exchanger,import,1.000,Work order text identifies low heat transfer on HX-135.
WO-2023596,Imbalance,fan,import,1.000,Work order text identifies imbalance on F-120.
WO-2023598,Stem leakage,valve,import,1.000,Work order text identifies stem leakage on V-104.
WO-2023599,Tube leak,heat_exchanger,import,1.000,Work order text identifies tube leak on HX-121.
WO-2023601,Low capacity,compressor,import,1.000,Work order text identifies low capacity on C-105.
WO-2023602,Bearing failure,pump,import,0.850,Work order text identifies bearing failure on P-122.
WO-2023603,Actuator failure,valve,import,1.000,Work order text identifies actuator failure on V-139.
WO-2023605,Overheating,motor,import,1.000,Work order text identifies overheating on M-123.
WO-2023607,Cavitation,pump,import,1.000,Work order text identifies cavitation on P-108.
WO-2023609,Low heat transfer,heat_exchanger,import,1.000,Work order text identifies low heat transfer on HX-142.
WO-2023610,Bearing failure,motor,import,0.850,Work order text identifies bearing failure on M-109.
WO-2023611,High discharge temperature,compressor,import,1.000,Work order text identifies high discharge temperature on C-126.
WO-2023612,Seal leakage,pump,import,1.000,Work order text identifies seal leakage on P-143.
WO-2023613,Belt mistracking,conveyor,import,0.850,Work order text identifies belt mistracking on CV-110.
WO-2023614,Imbalance,fan,import,1.000,Work order text identifies imbalance on F-127.
WO-2023616,Stem leakage,valve,import,1.000,Work order text identifies stem leakage on V-111.
WO-2023618,Actuator failure,valve,import,1.000,Work order text identifies actuator failure on V-146.
WO-2023620,Overheating,motor,import,1.000,Work order text identifies overheating on M-130.
WO-2023621,Oil carryover,compressor,import,0.850,Work order text identifies oil carryover on C-147.
WO-2023622,Tube fouling,heat_exchanger,import,1.000,Work order text identifies tube fouling on HX-114.
WO-2023624,Bearing failure,fan,import,1.000,Work order text identifies bearing failure on F-148.
WO-2023625,Cavitation,pump,import,1.000,Work order text identifies cavitation on P-115.
WO-2023627,Low heat transfer,heat_exchanger,import,1.000,Work order text identifies low heat transfer on HX-149.
WO-2023629,Imbalance,fan,import,1.000,Work order text identifies imbalance on F-134.
WO-2023631,Stem leakage,valve,import,1.000,Work order text identifies stem leakage on V-118.
WO-2023632,Tube leak,heat_exchanger,import,0.850,Work order text identifies tube leak on HX-135.
WO-2023633,Insulation breakdown,motor,import,1.000,Work order text identifies insulation breakdown on M-102.
WO-2023635,Bearing failure,pump,import,1.000,Work order text identifies bearing failure on P-136.
WO-2023637,Belt slippage,fan,import,1.000,Work order text identifies belt slippage on F-120.
WO-2023638,Overheating,motor,import,1.000,Work order text identifies overheating on M-137.
WO-2023640,Cavitation,pump,import,1.000,Work order text identifies cavitation on P-122.
WO-2023642,Bearing failure,fan,import,1.000,Work order text identifies bearing failure on F-106.
WO-2023643,Bearing failure,motor,import,0.850,Work order text identifies bearing failure on M-123.
WO-2023644,High discharge temperature,compressor,import,1.000,Work order text identifies high discharge temperature on C-140.
WO-2023646,Belt mistracking,conveyor,import,1.000,Work order text identifies belt mistracking on CV-124.
WO-2023648,Seal leakage,pump,import,1.000,Work order text identifies seal leakage on P-108.
WO-2023650,Bearing failure,pump,import,1.000,Work order text identifies bearing failure on P-143.
WO-2023651,Belt damage,conveyor,import,1.000,Work order text identifies belt damage on CV-110.
WO-2023653,Overheating,motor,import,1.000,Work order text identifies overheating on M-144.
WO-2023654,Actuator failure,valve,import,0.850,Work order text identifies actuator failure on V-111.
WO-2023655,Tube fouling,heat_exchanger,import,1.000,Work order text identifies tube fouling on HX-128.
WO-2023657,Oil carryover,compressor,import,1.000,Work order text identifies oil carryover on C-112.
WO-2023659,Passing valve,valve,import,1.000,Work order text identifies passing valve on V-146.
WO-2023661,Belt mistracking,conveyor,import,1.000,Work order text identifies belt mistracking on CV-131.
WO-2023662,Imbalance,fan,import,0.850,Work order text identifies imbalance on F-148.
WO-2023663,Seal leakage,pump,import,1.000,Work order text identifies seal leakage on P-115.
WO-2023664,Stem leakage,valve,import,1.000,Work order text identifies stem leakage on V-132.
WO-2023665,Tube leak,heat_exchanger,import,0.850,Work order text identifies tube leak on HX-149.
WO-2023666,Insulation breakdown,motor,import,1.000,Work order text identifies insulation breakdown on M-116.
WO-2023668,Bearing failure,pump,import,1.000,Work order text identifies bearing failure on P-150.
WO-2023670,Belt slippage,fan,import,1.000,Work order text identifies belt slippage on F-134.
WO-2023672,Oil carryover,compressor,import,1.000,Work order text identifies oil carryover on C-119.
WO-2023673,Cavitation,pump,import,0.850,Work order text identifies cavitation on P-136.
WO-2023674,Pulley bearing failure,conveyor,import,1.000,Work order text identifies pulley bearing failure on CV-103.
WO-2023676,Bearing failure,motor,import,1.000,Work order text identifies bearing failure on M-137.
WO-2023677,Passing valve,valve,import,1.000,Work order text identifies passing valve on V-104.
WO-2023679,Belt mistracking,conveyor,import,1.000,Work order text identifies belt mistracking on CV-138.
WO-2023681,Seal leakage,pump,import,1.000,Work order text identifies seal leakage on P-122.
WO-2023683,Tube leak,heat_exchanger,import,1.000,Work order text identifies tube leak on HX-107.
WO-2023684,Belt damage,conveyor,import,0.850,Work order text identifies belt damage on CV-124.
WO-2023685,Belt slippage,fan,import,1.000,Work order text identifies belt slippage on F-141.
WO-2023687,Actuator failure,valve,import,1.000,Work order text identifies actuator failure on V-125.
WO-2023689,Overheating,motor,import,1.000,Work order text identifies overheating on M-109.
WO-2023690,Oil carryover,compressor,import,1.000,Work order text identifies oil carryover on C-126.
WO-2023692,Pulley bearing failure,conveyor,import,1.000,Work order text identifies pulley bearing failure on CV-110.
WO-2023694,Belt mistracking,conveyor,import,1.000,Work order text identifies belt mistracking on CV-145.
WO-2023695,High discharge temperature,compressor,import,0.850,Work order text identifies high discharge temperature on C-112.
WO-2023696,Seal leakage,pump,import,1.000,Work order text identifies seal leakage on P-129.
WO-2023698,Imbalance,fan,import,1.000,Work order text identifies imbalance on F-113.
WO-2023700,Low capacity,compressor,import,1.000,Work order text identifies low capacity on C-147.
WO-2023702,Belt damage,conveyor,import,1.000,Work order text identifies belt damage on CV-131.
WO-2023703,Belt slippage,fan,import,1.000,Work order text identifies belt slippage on F-148.
WO-2023705,Oil carryover,compressor,import,1.000,Work order text identifies oil carryover on C-133.
WO-2023706,Cavitation,pump,import,0.850,Work order text identifies cavitation on P-150.
WO-2023707,Pulley bearing failure,conveyor,import,1.000,Work order text identifies pulley bearing failure on CV-117.
WO-2023709,Cavitation,pump,import,1.000,Work order text identifies cavitation on P-101.
WO-2023711,Low heat transfer,heat_exchanger,import,1.000,Work order text identifies low heat transfer on HX-135.
WO-2023713,High discharge temperature,compressor,import,1.000,Work order text identifies high discharge temperature on C-119.
WO-2023714,Seal leakage,pump,import,0.850,Work order text identifies seal leakage on P-136.
WO-2023715,Belt mistracking,conveyor,import,1.000,Work order text identifies belt mistracking on CV-103.
WO-2023716,Tube leak,heat_exchanger,import,1.000,Work order text identifies tube leak on HX-121.
WO-2023717,Belt damage,conveyor,import,0.850,Work order text identifies belt damage on CV-138.
WO-2023718,Low capacity,compressor,import,1.000,Work order text identifies low capacity on C-105.
WO-2023720,Actuator failure,valve,import,1.000,Work order text identifies actuator failure on V-139.
WO-2023722,Overheating,motor,import,1.000,Work order text identifies overheating on M-123.
WO-2023724,Tube fouling,heat_exchanger,import,1.000,Work order text identifies tube fouling on HX-107.
WO-2023725,Pulley bearing failure,conveyor,import,0.850,Work order text identifies pulley bearing failure on CV-124.
WO-2023726,Bearing failure,fan,import,1.000,Work order text identifies bearing failure on F-141.
WO-2023728,High discharge temperature,compressor,import,1.000,Work order text identifies high discharge temperature on C-126.
WO-2023729,Seal leakage,pump,import,1.000,Work order text identifies seal leakage on P-143.
WO-2023731,Imbalance,fan,import,1.000,Work order text identifies imbalance on F-127.
WO-2023733,Stem leakage,valve,import,1.000,Work order text identifies stem leakage on V-111.
WO-2023735,Belt damage,conveyor,import,1.000,Work order text identifies belt damage on CV-145.
WO-2023736,Low capacity,compressor,import,0.850,Work order text identifies low capacity on C-112.
WO-2023737,Bearing failure,pump,import,1.000,Work order text identifies bearing failure on P-129.
WO-2023739,Tube fouling,heat_exchanger,import,1.000,Work order text identifies tube fouling on HX-114.
WO-2023741,Bearing failure,fan,import,1.000,Work order text identifies bearing failure on F-148.
WO-2023742,Cavitation,pump,import,1.000,Work order text identifies cavitation on P-115.
WO-2023744,Low heat transfer,heat_exchanger,import,1.000,Work order text identifies low heat transfer on HX-149.
WO-2023746,High discharge temperature,compressor,import,1.000,Work order text identifies high discharge temperature on C-133.
WO-2023747,Seal leakage,pump,import,0.850,Work order text identifies seal leakage on P-150.
WO-2023748,Belt mistracking,conveyor,import,1.000,Work order text identifies belt mistracking on CV-117.
WO-2023750,Insulation breakdown,motor,import,1.000,Work order text identifies insulation breakdown on M-102.
WO-2023752,Bearing failure,pump,import,1.000,Work order text identifies bearing failure on P-136.
WO-2023754,Belt slippage,fan,import,1.000,Work order text identifies belt slippage on F-120.
WO-2023755,Overheating,motor,import,1.000,Work order text identifies overheating on M-137.
WO-2023757,Tube fouling,heat_exchanger,import,1.000,Work order text identifies tube fouling on HX-121.
WO-2023758,Pulley bearing failure,conveyor,import,0.850,Work order text identifies pulley bearing failure on CV-138.
WO-2023759,Oil carryover,compressor,import,1.000,Work order text identifies oil carryover on C-105.
WO-2023761,High discharge temperature,compressor,import,1.000,Work order text identifies high discharge temperature on C-140.
WO-2023763,Belt mistracking,conveyor,import,1.000,Work order text identifies belt mistracking on CV-124.
WO-2023765,Seal leakage,pump,import,1.000,Work order text identifies seal leakage on P-108.
WO-2023766,Stem leakage,valve,import,0.850,Work order text identifies stem leakage on V-125.
WO-2023767,Tube leak,heat_exchanger,import,1.000,Work order text identifies tube leak on HX-142.
WO-2023768,Insulation breakdown,motor,import,1.000,Work order text identifies insulation breakdown on M-109.
WO-2023769,Low capacity,compressor,import,0.850,Work order text identifies low capacity on C-126.
WO-2023770,Bearing failure,pump,import,1.000,Work order text identifies bearing failure on P-143.
WO-2023772,Tube fouling,heat_exchanger,import,1.000,Work order text identifies tube fouling on HX-128.
WO-2023774,Oil carryover,compressor,import,1.000,Work order text identifies oil carryover on C-112.
WO-2023776,Passing valve,valve,import,1.000,Work order text identifies passing valve on V-146.
WO-2023777,Bearing failure,fan,import,0.850,Work order text identifies bearing failure on F-113.
WO-2023778,Bearing failure,motor,import,1.000,Work order text identifies bearing failure on M-130.
WO-2023780,Low heat transfer,heat_exchanger,import,1.000,Work order text identifies low heat transfer on HX-114.
WO-2023781,Belt mistracking,conveyor,import,1.000,Work order text identifies belt mistracking on CV-131.
WO-2023783,Insulation breakdown,motor,import,1.000,Work order text identifies insulation breakdown on M-116.
WO-2023785,Bearing failure,pump,import,1.000,Work order text identifies bearing failure on P-150.
WO-2023787,Belt slippage,fan,import,1.000,Work order text identifies belt slippage on F-134.
WO-2023788,Bearing failure,pump,import,0.850,Work order text identifies bearing failure on P-101.
WO-2023789,Actuator failure,valve,import,1.000,Work order text identifies actuator failure on V-118.
WO-2023791,Overheating,motor,import,1.000,Work order text identifies overheating on M-102.
WO-2023793,Bearing failure,motor,import,1.000,Work order text identifies bearing failure on M-137.
WO-2023794,Passing valve,valve,import,1.000,Work order text identifies passing valve on V-104.
WO-2023796,Belt mistracking,conveyor,import,1.000,Work order text identifies belt mistracking on CV-138.
WO-2023798,Seal leakage,pump,import,1.000,Work order text identifies seal leakage on P-122.
WO-2023799,Stem leakage,valve,import,0.850,Work order text identifies stem leakage on V-139.
WO-2023800,Imbalance,fan,import,1.000,Work order text identifies imbalance on F-106.
WO-2023802,Low capacity,compressor,import,1.000,Work order text identifies low capacity on C-140.
WO-2023804,Actuator failure,valve,import,1.000,Work order text identifies actuator failure on V-125.
WO-2023806,Overheating,motor,import,1.000,Work order text identifies overheating on M-109.
WO-2023807,Oil carryover,compressor,import,1.000,Work order text identifies oil carryover on C-126.
WO-2023809,Pulley bearing failure,conveyor,import,1.000,Work order text identifies pulley bearing failure on CV-110.
WO-2023810,Bearing failure,fan,import,0.850,Work order text identifies bearing failure on F-127.
WO-2023811,Bearing failure,motor,import,1.000,Work order text identifies bearing failure on M-144.
WO-2023813,Low heat transfer,heat_exchanger,import,1.000,Work order text identifies low heat transfer on HX-128.
WO-2023815,Imbalance,fan,import,1.000,Work order text identifies imbalance on F-113.
WO-2023817,Low capacity,compressor,import,1.000,Work order text identifies low capacity on C-147.
WO-2023818,Tube leak,heat_exchanger,import,0.850,Work order text identifies tube leak on HX-114.
WO-2023819,Belt damage,conveyor,import,1.000,Work order text identifies belt damage on CV-131.
WO-2023820,Belt slippage,fan,import,1.000,Work order text identifies belt slippage on F-148.
WO-2023821,Bearing failure,pump,import,0.850,Work order text identifies bearing failure on P-115.
WO-2023822,Actuator failure,valve,import,1.000,Work order text identifies actuator failure on V-132.
WO-2023824,Overheating,motor,import,1.000,Work order text identifies overheating on M-116.
WO-2023826,Cavitation,pump,import,1.000,Work order text identifies cavitation on P-101.
WO-2023828,Low heat transfer,heat_exchanger,import,1.000,Work order text identifies low heat transfer on HX-135.
WO-2023829,Bearing failure,motor,import,0.850,Work order text identifies bearing failure on M-102.
WO-2023830,High discharge temperature,compressor,import,1.000,Work order text identifies high discharge temperature on C-119.
WO-2023832,Belt mistracking,conveyor,import,1.000,Work order text identifies belt mistracking on CV-103.
WO-2023833,Imbalance,fan,import,1.000,Work order text identifies imbalance on F-120.
WO-2023835,Stem leakage,valve,import,1.000,Work order text identifies stem leakage on V-104.
WO-2023837,Actuator failure,valve,import,1.000,Work order text identifies actuator failure on V-139.
WO-2023839,Overheating,motor,import,1.000,Work order text identifies overheating on M-123.
WO-2023840,Oil carryover,compressor,import,0.850,Work order text identifies oil carryover on C-140.
WO-2023841,Tube fouling,heat_exchanger,import,1.000,Work order text identifies tube fouling on HX-107.
WO-2023843,Bearing failure,fan,import,1.000,Work order text identifies bearing failure on F-141.
WO-2023845,Passing valve,valve,import,1.000,Work order text identifies passing valve on V-125.
WO-2023846,Low heat transfer,heat_exchanger,import,1.000,Work order text identifies low heat transfer on HX-142.
WO-2023848,Imbalance,fan,import,1.000,Work order text identifies imbalance on F-127.
WO-2023850,Stem leakage,valve,import,1.000,Work order text identifies stem leakage on V-111.
WO-2023851,Tube leak,heat_exchanger,import,0.850,Work order text identifies tube leak on HX-128.
WO-2023852,Belt damage,conveyor,import,1.000,Work order text identifies belt damage on CV-145.
WO-2023854,Bearing failure,pump,import,1.000,Work order text identifies bearing failure on P-129.
WO-2023856,Belt slippage,fan,import,1.000,Work order text identifies belt slippage on F-113.
WO-2023858,Oil carryover,compressor,import,1.000,Work order text identifies oil carryover on C-147.
WO-2023859,Cavitation,pump,import,1.000,Work order text identifies cavitation on P-115.
WO-2023861,Low heat transfer,heat_exchanger,import,1.000,Work order text identifies low heat transfer on HX-149.
WO-2023862,Bearing failure,motor,import,0.850,Work order text identifies bearing failure on M-116.
WO-2023863,High discharge temperature,compressor,import,1.000,Work order text identifies high discharge temperature on C-133.
WO-2023865,Belt mistracking,conveyor,import,1.000,Work order text identifies belt mistracking on CV-117.
WO-2023867,Seal leakage,pump,import,1.000,Work order text identifies seal leakage on P-101.
WO-2023869,Tube leak,heat_exchanger,import,1.000,Work order text identifies tube leak on HX-135.
WO-2023870,Belt damage,conveyor,import,0.850,Work order text identifies belt damage on CV-103.
WO-2023871,Belt slippage,fan,import,1.000,Work order text identifies belt slippage on F-120.
WO-2023872,Overheating,motor,import,1.000,Work order text identifies overheating on M-137.
WO-2023873,Actuator failure,valve,import,0.850,Work order text identifies actuator failure on V-104.
WO-2023874,Tube fouling,heat_exchanger,import,1.000,Work order text identifies tube fouling on HX-121.
WO-2023876,Oil carryover,compressor,import,1.000,Work order text identifies oil carryover on C-105.
WO-2023878,Passing valve,valve,import,1.000,Work order text identifies passing valve on V-139.
WO-2023880,Bearing failure,motor,import,1.000,Work order text identifies bearing failure on M-123.
WO-2023881,Imbalance,fan,import,0.850,Work order text identifies imbalance on F-141.
WO-2023882,Seal leakage,pump,import,1.000,Work order text identifies seal leakage on P-108.
WO-2023884,Tube leak,heat_exchanger,import,1.000,Work order text identifies tube leak on HX-142.
WO-2023885,Insulation breakdown,motor,import,1.000,Work order text identifies insulation breakdown on M-109.
WO-2023887,Bearing failure,pump,import,1.000,Work order text identifies bearing failure on P-143.
WO-2023889,Belt slippage,fan,import,1.000,Work order text identifies belt slippage on F-127.
WO-2023891,Actuator failure,valve,import,1.000,Work order text identifies actuator failure on V-111.
WO-2023892,Cavitation,pump,import,0.850,Work order text identifies cavitation on P-129.
WO-2023893,Passing valve,valve,import,1.000,Work order text identifies passing valve on V-146.
WO-2023895,Bearing failure,motor,import,1.000,Work order text identifies bearing failure on M-130.
WO-2023897,Low heat transfer,heat_exchanger,import,1.000,Work order text identifies low heat transfer on HX-114.
WO-2023898,Belt mistracking,conveyor,import,1.000,Work order text identifies belt mistracking on CV-131.
WO-2023900,Seal leakage,pump,import,1.000,Work order text identifies seal leakage on P-115.
WO-2023902,Tube leak,heat_exchanger,import,1.000,Work order text identifies tube leak on HX-149.
WO-2023903,Belt damage,conveyor,import,0.850,Work order text identifies belt damage on CV-117.
WO-2023904,Belt slippage,fan,import,1.000,Work order text identifies belt slippage on F-134.
WO-2023906,Actuator failure,valve,import,1.000,Work order text identifies actuator failure on V-118.
WO-2023908,Overheating,motor,import,1.000,Work order text identifies overheating on M-102.
WO-2023910,Cavitation,pump,import,1.000,Work order text identifies cavitation on P-136.
WO-2023911,Pulley bearing failure,conveyor,import,1.000,Work order text identifies pulley bearing failure on CV-103.
WO-2023913,Bearing failure,motor,import,1.000,Work order text identifies bearing failure on M-137.
WO-2023914,High discharge temperature,compressor,import,0.850,Work order text identifies high discharge temperature on C-105.
WO-2023915,Seal leakage,pump,import,1.000,Work order text identifies seal leakage on P-122.
WO-2023917,Imbalance,fan,import,1.000,Work order text identifies imbalance on F-106.
WO-2023919,Low capacity,compressor,import,1.000,Work order text identifies low capacity on C-140.
WO-2023921,Belt damage,conveyor,import,1.000,Work order text identifies belt damage on CV-124.
WO-2023922,Belt slippage,fan,import,0.850,Work order text identifies belt slippage on F-141.
WO-2023923,Bearing failure,pump,import,1.000,Work order text identifies bearing failure on P-108.
WO-2023924,Actuator failure,valve,import,1.000,Work order text identifies actuator failure on V-125.
WO-2023925,Cavitation,pump,import,0.850,Work order text identifies cavitation on P-143.
WO-2023926,Pulley bearing failure,conveyor,import,1.000,Work order text identifies pulley bearing failure on CV-110.
WO-2023928,Bearing failure,motor,import,1.000,Work order text identifies bearing failure on M-144.
WO-2023930,Low heat transfer,heat_exchanger,import,1.000,Work order text identifies low heat transfer on HX-128.
WO-2023932,High discharge temperature,compressor,import,1.000,Work order text identifies high discharge temperature on C-112.
WO-2023933,Seal leakage,pump,import,0.850,Work order text identifies seal leakage on P-129.
WO-2023934,Stem leakage,valve,import,1.000,Work order text identifies stem leakage on V-146.
WO-2023936,Belt damage,conveyor,import,1.000,Work order text identifies belt damage on CV-131.
WO-2023937,Belt slippage,fan,import,1.000,Work order text identifies belt slippage on F-148.
WO-2023939,Actuator failure,valve,import,1.000,Work order text identifies actuator failure on V-132.
WO-2023941,Overheating,motor,import,1.000,Work order text identifies overheating on M-116.
WO-2023943,Cavitation,pump,import,1.000,Work order text identifies cavitation on P-150.
WO-2023944,Pulley bearing failure,conveyor,import,0.850,Work order text identifies pulley bearing failure on CV-117.
WO-2023945,Bearing failure,fan,import,1.000,Work order text identifies bearing failure on F-134.
WO-2023947,High discharge temperature,compressor,import,1.000,Work order text identifies high discharge temperature on C-119.
WO-2023949,Belt mistracking,conveyor,import,1.000,Work order text identifies belt mistracking on CV-103.
WO-2023950,Imbalance,fan,import,1.000,Work order text identifies imbalance on F-120.
WO-2023952,Stem leakage,valve,import,1.000,Work order text identifies stem leakage on V-104.
WO-2023954,Belt damage,conveyor,import,1.000,Work order text identifies belt damage on CV-138.
WO-2023955,Low capacity,compressor,import,0.850,Work order text identifies low capacity on C-105.
WO-2023956,Bearing failure,pump,import,1.000,Work order text identifies bearing failure on P-122.
WO-2023958,Tube fouling,heat_exchanger,import,1.000,Work order text identifies tube fouling on HX-107.
WO-2023960,Bearing failure,fan,import,1.000,Work order text identifies bearing failure on F-141.
WO-2023962,Passing valve,valve,import,1.000,Work order text identifies passing valve on V-125.
WO-2023963,Low heat transfer,heat_exchanger,import,1.000,Work order text identifies low heat transfer on HX-142.
WO-2023965,High discharge temperature,compressor,import,1.000,Work order text identifies high discharge temperature on C-126.
WO-2023966,Seal leakage,pump,import,0.850,Work order text identifies seal leakage on P-143.
WO-2023967,Belt mistracking,conveyor,import,1.000,Work order text identifies belt mistracking on CV-110.
WO-2023969,Belt damage,conveyor,import,1.000,Work order text identifies belt damage on CV-145.
WO-2023971,Bearing failure,pump,import,1.000,Work order text identifies bearing failure on P-129.
WO-2023973,Belt slippage,fan,import,1.000,Work order text identifies belt slippage on F-113.
WO-2023974,Overheating,motor,import,0.850,Work order text identifies overheating on M-130.
WO-2023975,Oil carryover,compressor,import,1.000,Work order text identifies oil carryover on C-147.
WO-2023976,Tube fouling,heat_exchanger,import,1.000,Work order text identifies tube fouling on HX-114.
WO-2023977,Pulley bearing failure,conveyor,import,0.850,Work order text identifies pulley bearing failure on CV-131.
WO-2023978,Bearing failure,fan,import,1.000,Work order text identifies bearing failure on F-148.
WO-2023980,High discharge temperature,compressor,import,1.000,Work order text identifies high discharge temperature on C-133.
WO-2023982,Belt mistracking,conveyor,import,1.000,Work order text identifies belt mistracking on CV-117.
WO-2023984,Seal leakage,pump,import,1.000,Work order text identifies seal leakage on P-101.
WO-2023985,Stem leakage,valve,import,0.850,Work order text identifies stem leakage on V-118.
WO-2023986,Tube leak,heat_exchanger,import,1.000,Work order text identifies tube leak on HX-135.
WO-2023988,Low capacity,compressor,import,1.000,Work order text identifies low capacity on C-119.
WO-2023989,Bearing failure,pump,import,1.000,Work order text identifies bearing failure on P-136.
WO-2023991,Tube fouling,heat_exchanger,import,1.000,Work order text identifies tube fouling on HX-121.
WO-2023993,Oil carryover,compressor,import,1.000,Work order text identifies oil carryover on C-105.
WO-2023995,Passing valve,valve,import,1.000,Work order text identifies passing valve on V-139.
WO-2023996,Bearing failure,fan,import,0.850,Work order text identifies bearing failure on F-106.
WO-2023997,Bearing failure,motor,import,1.000,Work order text identifies bearing failure on M-123.
WO-2023999,Low heat transfer,heat_exchanger,import,1.000,Work order text identifies low heat transfer on HX-107.
