order_number,notification_number,equipment_number,functional_location,order_type,status,priority,maintenance_activity_type,short_text,long_text,created_at_source,required_by_at,started_at,finished_at,total_cost,downtime_hours
WO-2023164,N-910164,P-136,PLANT-A/AREA-1/PUMP-8,CMON,closed,low,condition_monitoring,Bearing failure on Pump asset 36,Bearing failure identified on P-136 during operation. Corrective work completed and asset returned to service.,2023-07-20T03:00:00+00:00,2023-07-24T03:00:00+00:00,2023-07-20T06:00:00+00:00,2023-07-20T17:00:00+00:00,1770.00,0.00
WO-2023165,N-910165,CV-103,PLANT-A/AREA-3/CONVEYOR-1,CM,closed,medium,corrective,Belt damage on Conveyor asset 03,Belt damage identified on CV-103 during operation. Corrective work completed and asset returned to service.,2023-07-21T15:00:00+00:00,2023-07-26T15:00:00+00:00,2023-07-21T19:00:00+00:00,2023-07-21T22:30:00+00:00,2435.00,3.50
WO-2023166,,HX-121,PLANT-A/AREA-1/HEAT-EXCHANGER-5,PM,closed,low,preventive,Complete scheduled PM on Heat exchanger asset 21,Preventive maintenance completed on HX-121 with no immediate defect recorded.,2023-07-23T03:00:00+00:00,2023-07-24T03:00:00+00:00,2023-07-23T08:00:00+00:00,2023-07-23T08:30:00+00:00,255.00,0.00
WO-2023167,N-910167,CV-138,PLANT-A/AREA-3/CONVEYOR-8,CM,closed,high,corrective,Pulley bearing failure on Conveyor asset 38,Pulley bearing failure identified on CV-138 during operation. Corrective work completed and asset returned to service.,2023-07-24T15:00:00+00:00,2023-07-26T15:00:00+00:00,2023-07-24T21:00:00+00:00,2023-07-25T07:30:00+00:00,2665.00,10.50
WO-2023168,,C-105,PLANT-A/AREA-5/COMPRESSOR-1,INSP,closed,high,inspection,Inspect condition of Compressor asset 05,Inspection completed on C-105; observations recorded for reliability trending.,2023-07-26T03:00:00+00:00,2023-07-29T03:00:00+00:00,2023-07-26T10:00:00+00:00,2023-07-26T10:30:00+00:00,240.00,0.00
WO-2023169,N-910169,P-122,PLANT-A/AREA-2/PUMP-5,EM,closed,low,emergency,Cavitation on Pump asset 22,Cavitation identified on P-122 during operation. Corrective work completed and asset returned to service.,2023-07-27T15:00:00+00:00,2023-07-31T15:00:00+00:00,2023-07-27T23:00:00+00:00,2023-07-28T05:30:00+00:00,4695.00,6.50
WO-2023170,N-910170,V-139,PLANT-A/AREA-4/VALVE-8,CM,closed,medium,corrective,Passing valve on Valve asset 39,Passing valve identified on V-139 during operation. Corrective work completed and asset returned to service.,2023-07-29T03:00:00+00:00,2023-08-03T03:00:00+00:00,2023-07-29T12:00:00+00:00,2023-07-29T22:00:00+00:00,3010.00,10.00
WO-2023171,,F-106,PLANT-A/AREA-1/FAN-2,INSP,closed,medium,inspection,Inspect condition of Fan asset 06,Inspection completed on F-106; observations recorded for reliability trending.,2023-07-25T16:00:00+00:00,2023-07-26T16:00:00+00:00,2023-07-26T02:00:00+00:00,2023-07-26T02:30:00+00:00,160.00,0.00
WO-2023172,N-910172,M-123,PLANT-A/AREA-3/MOTOR-5,EM,closed,high,emergency,Bearing failure on Motor asset 23,Bearing failure identified on M-123 during operation. Corrective work completed and asset returned to service.,2023-07-27T04:00:00+00:00,2023-07-29T04:00:00+00:00,2023-07-27T06:00:00+00:00,2023-07-27T12:00:00+00:00,5040.00,6.00
WO-2023173,,C-140,PLANT-A/AREA-5/COMPRESSOR-8,PM,closed,medium,preventive,Complete scheduled PM on Compressor asset 40,Preventive maintenance completed on C-140 with no immediate defect recorded.,2023-07-28T16:00:00+00:00,2023-07-31T16:00:00+00:00,2023-07-28T19:00:00+00:00,2023-07-28T19:30:00+00:00,205.00,0.00
WO-2023174,N-910174,HX-107,PLANT-A/AREA-2/HEAT-EXCHANGER-2,CM,closed,low,corrective,Low heat transfer on Heat exchanger asset 07,Low heat transfer identified on HX-107 during operation. Corrective work completed and asset returned to service.,2023-07-30T04:00:00+00:00,2023-08-03T04:00:00+00:00,2023-07-30T08:00:00+00:00,2023-07-30T10:00:00+00:00,3470.00,2.00
WO-2023175,N-910175,CV-124,PLANT-A/AREA-4/CONVEYOR-5,CMON,closed,medium,condition_monitoring,Belt mistracking on Conveyor asset 24,Belt mistracking identified on CV-124 during operation. Corrective work completed and asset returned to service.,2023-07-31T16:00:00+00:00,2023-08-05T16:00:00+00:00,2023-07-31T21:00:00+00:00,2023-08-01T02:30:00+00:00,3035.00,0.00
WO-2023176,N-910176,F-141,PLANT-A/AREA-1/FAN-9,CM,closed,medium,corrective,Imbalance on Fan asset 41,Imbalance identified on F-141 during operation. Corrective work completed and asset returned to service.,2023-08-02T04:00:00+00:00,2023-08-03T04:00:00+00:00,2023-08-02T10:00:00+00:00,2023-08-02T19:00:00+00:00,3700.00,9.00
WO-2023177,,M-109,PLANT-A/AREA-4/MOTOR-2,PM,closed,medium,preventive,Complete scheduled PM on Motor asset 09,Preventive maintenance completed on M-109 with no immediate defect recorded.,2023-08-03T16:00:00+00:00,2023-08-05T16:00:00+00:00,2023-08-03T23:00:00+00:00,2023-08-03T23:30:00+00:00,305.00,0.00
WO-2023178,N-910178,C-126,PLANT-A/AREA-1/COMPRESSOR-6,CM,closed,high,corrective,Low capacity on Compressor asset 26,Low capacity identified on C-126 during operation. Corrective work completed and asset returned to service.,2023-08-05T04:00:00+00:00,2023-08-08T04:00:00+00:00,2023-08-05T12:00:00+00:00,2023-08-05T17:00:00+00:00,3930.00,5.00
WO-2023179,,P-143,PLANT-A/AREA-3/PUMP-9,INSP,closed,low,inspection,Inspect condition of Pump asset 43,Inspection completed on P-143; observations recorded for reliability trending.,2023-08-06T16:00:00+00:00,2023-08-10T16:00:00+00:00,2023-08-07T01:00:00+00:00,2023-08-07T01:30:00+00:00,180.00,0.00
WO-2023180,N-910180,CV-110,PLANT-A/AREA-5/CONVEYOR-2,EM,closed,medium,emergency,Belt damage on Conveyor asset 10,Belt damage identified on CV-110 during operation. Corrective work completed and asset returned to service.,2023-08-08T04:00:00+00:00,2023-08-13T04:00:00+00:00,2023-08-08T14:00:00+00:00,2023-08-09T02:00:00+00:00,5960.00,12.00
WO-2023181,,F-127,PLANT-A/AREA-2/FAN-6,PM,closed,low,preventive,Complete scheduled PM on Fan asset 27,Preventive maintenance completed on F-127 with no immediate defect recorded.,2023-08-09T16:00:00+00:00,2023-08-10T16:00:00+00:00,2023-08-09T18:00:00+00:00,2023-08-09T18:30:00+00:00,180.00,0.00
WO-2023182,N-910182,M-144,PLANT-A/AREA-4/MOTOR-9,CM,closed,high,corrective,Overheating on Motor asset 44,Overheating identified on M-144 during operation. Corrective work completed and asset returned to service.,2023-08-11T04:00:00+00:00,2023-08-13T04:00:00+00:00,2023-08-11T07:00:00+00:00,2023-08-11T15:00:00+00:00,4390.00,8.00
WO-2023183,N-910183,V-111,PLANT-A/AREA-1/VALVE-3,EM,closed,high,emergency,Actuator failure on Valve asset 11,Actuator failure identified on V-111 during operation. Corrective work completed and asset returned to service.,2023-08-12T16:00:00+00:00,2023-08-15T16:00:00+00:00,2023-08-12T20:00:00+00:00,2023-08-13T07:30:00+00:00,6305.00,11.50
WO-2023184,,HX-128,PLANT-A/AREA-3/HEAT-EXCHANGER-6,PM,closed,high,preventive,Complete scheduled PM on Heat exchanger asset 28,Preventive maintenance completed on HX-128 with no immediate defect recorded.,2023-08-14T04:00:00+00:00,2023-08-18T04:00:00+00:00,2023-08-14T09:00:00+00:00,2023-08-14T09:30:00+00:00,255.00,0.00
WO-2023185,N-910185,CV-145,PLANT-A/AREA-5/CONVEYOR-9,CM,closed,medium,corrective,Pulley bearing failure on Conveyor asset 45,Pulley bearing failure identified on CV-145 during operation. Corrective work completed and asset returned to service.,2023-08-15T16:00:00+00:00,2023-08-20T16:00:00+00:00,2023-08-15T22:00:00+00:00,2023-08-16T05:30:00+00:00,4735.00,7.50
WO-2023186,N-910186,C-112,PLANT-A/AREA-2/COMPRESSOR-3,CMON,closed,medium,condition_monitoring,Oil carryover on Compressor asset 12,Oil carryover identified on C-112 during operation. Corrective work completed and asset returned to service.,2023-08-17T04:00:00+00:00,2023-08-18T04:00:00+00:00,2023-08-17T11:00:00+00:00,2023-08-17T22:00:00+00:00,4300.00,0.00
WO-2023187,N-910187,P-129,PLANT-A/AREA-4/PUMP-6,CM,closed,high,corrective,Cavitation on Pump asset 29,Cavitation identified on P-129 during operation. Corrective work completed and asset returned to service.,2023-08-18T16:00:00+00:00,2023-08-20T16:00:00+00:00,2023-08-19T00:00:00+00:00,2023-08-19T03:30:00+00:00,1400.00,3.50
WO-2023188,,C-147,PLANT-A/AREA-2/COMPRESSOR-10,PM,closed,medium,preventive,Complete scheduled PM on Compressor asset 47,Preventive maintenance completed on C-147 with no immediate defect recorded.,2023-08-15T05:00:00+00:00,2023-08-18T05:00:00+00:00,2023-08-15T14:00:00+00:00,2023-08-15T14:30:00+00:00,355.00,0.00
WO-2023189,N-910189,HX-114,PLANT-A/AREA-4/HEAT-EXCHANGER-3,CM,closed,low,corrective,Low heat transfer on Heat exchanger asset 14,Low heat transfer identified on HX-114 during operation. Corrective work completed and asset returned to service.,2023-08-16T17:00:00+00:00,2023-08-20T17:00:00+00:00,2023-08-17T03:00:00+00:00,2023-08-17T13:30:00+00:00,1630.00,10.50
WO-2023190,,CV-131,PLANT-A/AREA-1/CONVEYOR-7,INSP,closed,medium,inspection,Inspect condition of Conveyor asset 31,Inspection completed on CV-131; observations recorded for reliability trending.,2023-08-18T05:00:00+00:00,2023-08-23T05:00:00+00:00,2023-08-18T07:00:00+00:00,2023-08-18T07:30:00+00:00,120.00,0.00
WO-2023191,N-910191,F-148,PLANT-A/AREA-3/FAN-10,EM,closed,medium,emergency,Imbalance on Fan asset 48,Imbalance identified on F-148 during operation. Corrective work completed and asset returned to service.,2023-08-19T17:00:00+00:00,2023-08-20T17:00:00+00:00,2023-08-19T20:00:00+00:00,2023-08-20T02:30:00+00:00,3660.00,6.50
WO-2023192,,P-115,PLANT-A/AREA-5/PUMP-3,PM,closed,medium,preventive,Complete scheduled PM on Pump asset 15,Preventive maintenance completed on P-115 with no immediate defect recorded.,2023-08-21T05:00:00+00:00,2023-08-23T05:00:00+00:00,2023-08-21T09:00:00+00:00,2023-08-21T09:30:00+00:00,230.00,0.00
WO-2023193,N-910193,V-132,PLANT-A/AREA-2/VALVE-7,CM,closed,high,corrective,Stem leakage on Valve asset 32,Stem leakage identified on V-132 during operation. Corrective work completed and asset returned to service.,2023-08-22T17:00:00+00:00,2023-08-25T17:00:00+00:00,2023-08-22T22:00:00+00:00,2023-08-23T00:30:00+00:00,2090.00,2.50
WO-2023194,N-910194,HX-149,PLANT-A/AREA-4/HEAT-EXCHANGER-10,CMON,closed,low,condition_monitoring,Tube leak on Heat exchanger asset 49,Tube leak identified on HX-149 during operation. Corrective work completed and asset returned to service.,2023-08-24T05:00:00+00:00,2023-08-28T05:00:00+00:00,2023-08-24T11:00:00+00:00,2023-08-24T17:00:00+00:00,1655.00,0.00
WO-2023195,N-910195,M-116,PLANT-A/AREA-1/MOTOR-4,CM,closed,medium,corrective,Insulation breakdown on Motor asset 16,Insulation breakdown identified on M-116 during operation. Corrective work completed and asset returned to service.,2023-08-25T17:00:00+00:00,2023-08-30T17:00:00+00:00,2023-08-26T00:00:00+00:00,2023-08-26T09:30:00+00:00,2320.00,9.50
WO-2023196,N-910196,C-133,PLANT-A/AREA-3/COMPRESSOR-7,CM,closed,medium,corrective,Low capacity on Compressor asset 33,Low capacity identified on C-133 during operation. Corrective work completed and asset returned to service.,2023-08-27T05:00:00+00:00,2023-08-28T05:00:00+00:00,2023-08-27T13:00:00+00:00,2023-08-27T15:00:00+00:00,2435.00,2.00
WO-2023197,N-910197,P-150,PLANT-A/AREA-5/PUMP-10,CMON,closed,high,condition_monitoring,Bearing failure on Pump asset 50,Bearing failure identified on P-150 during operation. Corrective work completed and asset returned to service.,2023-08-28T17:00:00+00:00,2023-08-30T17:00:00+00:00,2023-08-29T02:00:00+00:00,2023-08-29T07:30:00+00:00,2000.00,0.00
WO-2023198,N-910198,CV-117,PLANT-A/AREA-2/CONVEYOR-4,CM,closed,high,corrective,Belt damage on Conveyor asset 17,Belt damage identified on CV-117 during operation. Corrective work completed and asset returned to service.,2023-08-30T05:00:00+00:00,2023-09-02T05:00:00+00:00,2023-08-30T15:00:00+00:00,2023-08-31T00:00:00+00:00,2665.00,9.00
WO-2023199,,HX-135,PLANT-A/AREA-5/HEAT-EXCHANGER-7,PM,closed,high,preventive,Complete scheduled PM on Heat exchanger asset 35,Preventive maintenance completed on HX-135 with no immediate defect recorded.,2023-08-31T17:00:00+00:00,2023-09-04T17:00:00+00:00,2023-08-31T19:00:00+00:00,2023-08-31T19:30:00+00:00,180.00,0.00
WO-2023200,N-910200,M-102,PLANT-A/AREA-2/MOTOR-1,CM,closed,medium,corrective,Overheating on Motor asset 02,Overheating identified on M-102 during operation. Corrective work completed and asset returned to service.,2023-09-02T05:00:00+00:00,2023-09-07T05:00:00+00:00,2023-09-02T08:00:00+00:00,2023-09-02T13:00:00+00:00,2895.00,5.00
WO-2023201,,C-119,PLANT-A/AREA-4/COMPRESSOR-4,INSP,closed,medium,inspection,Inspect condition of Compressor asset 19,Inspection completed on C-119; observations recorded for reliability trending.,2023-09-03T17:00:00+00:00,2023-09-04T17:00:00+00:00,2023-09-03T21:00:00+00:00,2023-09-03T21:30:00+00:00,200.00,0.00
WO-2023202,N-910202,P-136,PLANT-A/AREA-1/PUMP-8,EM,closed,high,emergency,Cavitation on Pump asset 36,Cavitation identified on P-136 during operation. Corrective work completed and asset returned to service.,2023-09-05T05:00:00+00:00,2023-09-07T05:00:00+00:00,2023-09-05T10:00:00+00:00,2023-09-05T22:00:00+00:00,4925.00,12.00
WO-2023203,,CV-103,PLANT-A/AREA-3/CONVEYOR-1,PM,closed,medium,preventive,Complete scheduled PM on Conveyor asset 03,Preventive maintenance completed on CV-103 with no immediate defect recorded.,2023-09-06T17:00:00+00:00,2023-09-09T17:00:00+00:00,2023-09-06T23:00:00+00:00,2023-09-06T23:30:00+00:00,280.00,0.00
WO-2023204,N-910204,F-120,PLANT-A/AREA-5/FAN-4,CM,closed,low,corrective,Bearing failure on Fan asset 20,Bearing failure identified on F-120 during operation. Corrective work completed and asset returned to service.,2023-09-08T05:00:00+00:00,2023-09-12T05:00:00+00:00,2023-09-08T12:00:00+00:00,2023-09-08T20:00:00+00:00,3355.00,8.00
WO-2023205,N-910205,M-137,PLANT-A/AREA-2/MOTOR-8,CMON,closed,medium,condition_monitoring,Bearing failure on Motor asset 37,Bearing failure identified on M-137 during operation. Corrective work completed and asset returned to service.,2023-09-04T18:00:00+00:00,2023-09-09T18:00:00+00:00,2023-09-05T02:00:00+00:00,2023-09-05T13:30:00+00:00,2920.00,0.00
WO-2023206,N-910206,V-104,PLANT-A/AREA-4/VALVE-1,CM,closed,medium,corrective,Passing valve on Valve asset 04,Passing valve identified on V-104 during operation. Corrective work completed and asset returned to service.,2023-09-06T06:00:00+00:00,2023-09-07T06:00:00+00:00,2023-09-06T15:00:00+00:00,2023-09-06T19:00:00+00:00,3585.00,4.00
WO-2023207,,HX-121,PLANT-A/AREA-1/HEAT-EXCHANGER-5,PM,closed,medium,preventive,Complete scheduled PM on Heat exchanger asset 21,Preventive maintenance completed on HX-121 with no immediate defect recorded.,2023-09-07T18:00:00+00:00,2023-09-09T18:00:00+00:00,2023-09-08T04:00:00+00:00,2023-09-08T04:30:00+00:00,380.00,0.00
WO-2023208,N-910208,CV-138,PLANT-A/AREA-3/CONVEYOR-8,CM,closed,high,corrective,Belt mistracking on Conveyor asset 38,Belt mistracking identified on CV-138 during operation. Corrective work completed and asset returned to service.,2023-09-09T06:00:00+00:00,2023-09-12T06:00:00+00:00,2023-09-09T08:00:00+00:00,2023-09-09T19:00:00+00:00,3815.00,11.00
WO-2023209,N-910209,C-105,PLANT-A/AREA-5/COMPRESSOR-1,CM,closed,low,corrective,High discharge temperature on Compressor asset 05,High discharge temperature identified on C-105 during operation. Corrective work completed and asset returned to service.,2023-09-10T18:00:00+00:00,2023-09-14T18:00:00+00:00,2023-09-10T21:00:00+00:00,2023-09-11T00:30:00+00:00,3930.00,3.50
WO-2023210,,M-123,PLANT-A/AREA-3/MOTOR-5,PM,closed,high,preventive,Complete scheduled PM on Motor asset 23,Preventive maintenance completed on M-123 with no immediate defect recorded.,2023-09-12T06:00:00+00:00,2023-09-17T06:00:00+00:00,2023-09-12T10:00:00+00:00,2023-09-12T10:30:00+00:00,230.00,0.00
WO-2023211,N-910211,C-140,PLANT-A/AREA-5/COMPRESSOR-8,CM,closed,medium,corrective,Low capacity on Compressor asset 40,Low capacity identified on C-140 during operation. Corrective work completed and asset returned to service.,2023-09-13T18:00:00+00:00,2023-09-14T18:00:00+00:00,2023-09-13T23:00:00+00:00,2023-09-14T09:30:00+00:00,4160.00,10.50
WO-2023212,,HX-107,PLANT-A/AREA-2/HEAT-EXCHANGER-2,INSP,closed,high,inspection,Inspect condition of Heat exchanger asset 07,Inspection completed on HX-107; observations recorded for reliability trending.,2023-09-15T06:00:00+00:00,2023-09-17T06:00:00+00:00,2023-09-15T12:00:00+00:00,2023-09-15T12:30:00+00:00,140.00,0.00
WO-2023213,N-910213,CV-124,PLANT-A/AREA-4/CONVEYOR-5,EM,closed,high,emergency,Belt damage on Conveyor asset 24,Belt damage identified on CV-124 during operation. Corrective work completed and asset returned to service.,2023-09-16T18:00:00+00:00,2023-09-19T18:00:00+00:00,2023-09-17T01:00:00+00:00,2023-09-17T07:30:00+00:00,6190.00,6.50
WO-2023214,,F-141,PLANT-A/AREA-1/FAN-9,PM,closed,high,preventive,Complete scheduled PM on Fan asset 41,Preventive maintenance completed on F-141 with no immediate defect recorded.,2023-09-18T06:00:00+00:00,2023-09-22T06:00:00+00:00,2023-09-18T14:00:00+00:00,2023-09-18T14:30:00+00:00,330.00,0.00
WO-2023215,N-910215,P-108,PLANT-A/AREA-3/PUMP-2,CM,closed,medium,corrective,Bearing failure on Pump asset 08,Bearing failure identified on P-108 during operation. Corrective work completed and asset returned to service.,2023-09-19T18:00:00+00:00,2023-09-24T18:00:00+00:00,2023-09-20T03:00:00+00:00,2023-09-20T05:30:00+00:00,4620.00,2.50
WO-2023216,N-910216,V-125,PLANT-A/AREA-5/VALVE-5,CMON,closed,medium,condition_monitoring,Actuator failure on Valve asset 25,Actuator failure identified on V-125 during operation. Corrective work completed and asset returned to service.,2023-09-21T06:00:00+00:00,2023-09-22T06:00:00+00:00,2023-09-21T16:00:00+00:00,2023-09-21T22:00:00+00:00,4185.00,0.00
WO-2023217,N-910217,HX-142,PLANT-A/AREA-2/HEAT-EXCHANGER-9,CM,closed,high,corrective,Tube fouling on Heat exchanger asset 42,Tube fouling identified on HX-142 during operation. Corrective work completed and asset returned to service.,2023-09-22T18:00:00+00:00,2023-09-24T18:00:00+00:00,2023-09-22T20:00:00+00:00,2023-09-23T05:30:00+00:00,4850.00,9.50
WO-2023218,,M-109,PLANT-A/AREA-4/MOTOR-2,PM,closed,medium,preventive,Complete scheduled PM on Motor asset 09,Preventive maintenance completed on M-109 with no immediate defect recorded.,2023-09-24T06:00:00+00:00,2023-09-27T06:00:00+00:00,2023-09-24T09:00:00+00:00,2023-09-24T09:30:00+00:00,205.00,0.00
WO-2023219,N-910219,C-126,PLANT-A/AREA-1/COMPRESSOR-6,CM,closed,low,corrective,Oil carryover on Compressor asset 26,Oil carryover identified on C-126 during operation. Corrective work completed and asset returned to service.,2023-09-25T18:00:00+00:00,2023-09-29T18:00:00+00:00,2023-09-25T22:00:00+00:00,2023-09-26T03:30:00+00:00,1515.00,5.50
WO-2023220,,P-143,PLANT-A/AREA-3/PUMP-9,INSP,closed,medium,inspection,Inspect condition of Pump asset 43,Inspection completed on P-143; observations recorded for reliability trending.,2023-09-27T06:00:00+00:00,2023-10-02T06:00:00+00:00,2023-09-27T11:00:00+00:00,2023-09-27T11:30:00+00:00,160.00,0.00
WO-2023221,N-910221,V-111,PLANT-A/AREA-1/VALVE-3,EM,closed,medium,emergency,Passing valve on Valve asset 11,Passing valve identified on V-111 during operation. Corrective work completed and asset returned to service.,2023-09-28T18:00:00+00:00,2023-09-29T18:00:00+00:00,2023-09-29T00:00:00+00:00,2023-09-29T01:30:00+00:00,3545.00,1.50
WO-2023222,N-910222,HX-128,PLANT-A/AREA-3/HEAT-EXCHANGER-6,CM,closed,high,corrective,Low heat transfer on Heat exchanger asset 28,Low heat transfer identified on HX-128 during operation. Corrective work completed and asset returned to service.,2023-09-25T07:00:00+00:00,2023-09-27T07:00:00+00:00,2023-09-25T14:00:00+00:00,2023-09-25T19:00:00+00:00,1860.00,5.00
WO-2023223,,CV-145,PLANT-A/AREA-5/CONVEYOR-9,INSP,closed,high,inspection,Inspect condition of Conveyor asset 45,Inspection completed on CV-145; observations recorded for reliability trending.,2023-09-26T19:00:00+00:00,2023-09-29T19:00:00+00:00,2023-09-27T03:00:00+00:00,2023-09-27T03:30:00+00:00,220.00,0.00
WO-2023224,N-910224,C-112,PLANT-A/AREA-2/COMPRESSOR-3,EM,closed,low,emergency,High discharge temperature on Compressor asset 12,High discharge temperature identified on C-112 during operation. Corrective work completed and asset returned to service.,2023-09-28T07:00:00+00:00,2023-10-02T07:00:00+00:00,2023-09-28T16:00:00+00:00,2023-09-29T04:00:00+00:00,3890.00,12.00
WO-2023225,,P-129,PLANT-A/AREA-4/PUMP-6,PM,closed,high,preventive,Complete scheduled PM on Pump asset 29,Preventive maintenance completed on P-129 with no immediate defect recorded.,2023-09-29T19:00:00+00:00,2023-10-04T19:00:00+00:00,2023-09-30T05:00:00+00:00,2023-09-30T05:30:00+00:00,380.00,0.00
WO-2023226,N-910226,V-146,PLANT-A/AREA-1/VALVE-10,CM,closed,medium,corrective,Stem leakage on Valve asset 46,Stem leakage identified on V-146 during operation. Corrective work completed and asset returned to service.,2023-10-01T07:00:00+00:00,2023-10-02T07:00:00+00:00,2023-10-01T09:00:00+00:00,2023-10-01T17:00:00+00:00,2320.00,8.00
WO-2023227,N-910227,F-113,PLANT-A/AREA-3/FAN-3,CMON,closed,high,condition_monitoring,Imbalance on Fan asset 13,Imbalance identified on F-113 during operation. Corrective work completed and asset returned to service.,2023-10-02T19:00:00+00:00,2023-10-04T19:00:00+00:00,2023-10-02T22:00:00+00:00,2023-10-03T09:30:00+00:00,1885.00,0.00
WO-2023228,N-910228,M-130,PLANT-A/AREA-5/MOTOR-6,CM,closed,high,corrective,Insulation breakdown on Motor asset 30,Insulation breakdown identified on M-130 during operation. Corrective work completed and asset returned to service.,2023-10-04T07:00:00+00:00,2023-10-07T07:00:00+00:00,2023-10-04T11:00:00+00:00,2023-10-04T15:00:00+00:00,2550.00,4.00
WO-2023229,,C-147,PLANT-A/AREA-2/COMPRESSOR-10,PM,closed,high,preventive,Complete scheduled PM on Compressor asset 47,Preventive maintenance completed on C-147 with no immediate defect recorded.,2023-10-05T19:00:00+00:00,2023-10-09T19:00:00+00:00,2023-10-06T00:00:00+00:00,2023-10-06T00:30:00+00:00,255.00,0.00
WO-2023230,N-910230,HX-114,PLANT-A/AREA-4/HEAT-EXCHANGER-3,CM,closed,medium,corrective,Tube leak on Heat exchanger asset 14,Tube leak identified on HX-114 during operation. Corrective work completed and asset returned to service.,2023-10-07T07:00:00+00:00,2023-10-12T07:00:00+00:00,2023-10-07T13:00:00+00:00,2023-10-08T00:00:00+00:00,2780.00,11.00
WO-2023231,,CV-131,PLANT-A/AREA-1/CONVEYOR-7,INSP,closed,medium,inspection,Inspect condition of Conveyor asset 31,Inspection completed on CV-131; observations recorded for reliability trending.,2023-10-08T19:00:00+00:00,2023-10-09T19:00:00+00:00,2023-10-09T02:00:00+00:00,2023-10-09T02:30:00+00:00,240.00,0.00
WO-2023232,N-910232,HX-149,PLANT-A/AREA-4/HEAT-EXCHANGER-10,EM,closed,high,emergency,Tube fouling on Heat exchanger asset 49,Tube fouling identified on HX-149 during operation. Corrective work completed and asset returned to service.,2023-10-10T07:00:00+00:00,2023-10-12T07:00:00+00:00,2023-10-10T15:00:00+00:00,2023-10-10T22:00:00+00:00,4810.00,7.00
WO-2023233,,M-116,PLANT-A/AREA-1/MOTOR-4,PM,closed,medium,preventive,Complete scheduled PM on Motor asset 16,Preventive maintenance completed on M-116 with no immediate defect recorded.,2023-10-11T19:00:00+00:00,2023-10-14T19:00:00+00:00,2023-10-12T04:00:00+00:00,2023-10-12T04:30:00+00:00,355.00,0.00
WO-2023234,N-910234,C-133,PLANT-A/AREA-3/COMPRESSOR-7,CM,closed,low,corrective,Oil carryover on Compressor asset 33,Oil carryover identified on C-133 during operation. Corrective work completed and asset returned to service.,2023-10-13T07:00:00+00:00,2023-10-17T07:00:00+00:00,2023-10-13T17:00:00+00:00,2023-10-13T20:00:00+00:00,3240.00,3.00
WO-2023235,N-910235,P-150,PLANT-A/AREA-5/PUMP-10,EM,closed,medium,emergency,Cavitation on Pump asset 50,Cavitation identified on P-150 during operation. Corrective work completed and asset returned to service.,2023-10-14T19:00:00+00:00,2023-10-19T19:00:00+00:00,2023-10-14T21:00:00+00:00,2023-10-15T03:30:00+00:00,5155.00,6.50
WO-2023236,,CV-117,PLANT-A/AREA-2/CONVEYOR-4,PM,closed,low,preventive,Complete scheduled PM on Conveyor asset 17,Preventive maintenance completed on CV-117 with no immediate defect recorded.,2023-10-16T07:00:00+00:00,2023-10-17T07:00:00+00:00,2023-10-16T10:00:00+00:00,2023-10-16T10:30:00+00:00,205.00,0.00
WO-2023237,N-910237,F-134,PLANT-A/AREA-4/FAN-7,CM,closed,high,corrective,Bearing failure on Fan asset 34,Bearing failure identified on F-134 during operation. Corrective work completed and asset returned to service.,2023-10-17T19:00:00+00:00,2023-10-19T19:00:00+00:00,2023-10-17T23:00:00+00:00,2023-10-18T01:30:00+00:00,3585.00,2.50
WO-2023238,N-910238,P-101,PLANT-A/AREA-1/PUMP-1,CMON,closed,high,condition_monitoring,Cavitation on Pump asset 01,Cavitation identified on P-101 during operation. Corrective work completed and asset returned to service.,2023-10-19T07:00:00+00:00,2023-10-22T07:00:00+00:00,2023-10-19T12:00:00+00:00,2023-10-19T18:00:00+00:00,3150.00,0.00
WO-2023239,N-910239,V-118,PLANT-A/AREA-3/VALVE-4,CM,closed,low,corrective,Passing valve on Valve asset 18,Passing valve identified on V-118 during operation. Corrective work completed and asset returned to service.,2023-10-15T20:00:00+00:00,2023-10-19T20:00:00+00:00,2023-10-16T02:00:00+00:00,2023-10-16T11:30:00+00:00,3815.00,9.50
WO-2023240,,HX-135,PLANT-A/AREA-5/HEAT-EXCHANGER-7,PM,closed,high,preventive,Complete scheduled PM on Heat exchanger asset 35,Preventive maintenance completed on HX-135 with no immediate defect recorded.,2023-10-17T08:00:00+00:00,2023-10-22T08:00:00+00:00,2023-10-17T15:00:00+00:00,2023-10-17T15:30:00+00:00,305.00,0.00
WO-2023241,N-910241,M-102,PLANT-A/AREA-2/MOTOR-1,CM,closed,medium,corrective,Bearing failure on Motor asset 02,Bearing failure identified on M-102 during operation. Corrective work completed and asset returned to service.,2023-10-18T20:00:00+00:00,2023-10-19T20:00:00+00:00,2023-10-19T04:00:00+00:00,2023-10-19T09:30:00+00:00,4045.00,5.50
WO-2023242,,C-119,PLANT-A/AREA-4/COMPRESSOR-4,INSP,closed,high,inspection,Inspect condition of Compressor asset 19,Inspection completed on C-119; observations recorded for reliability trending.,2023-10-20T08:00:00+00:00,2023-10-22T08:00:00+00:00,2023-10-20T17:00:00+00:00,2023-10-20T17:30:00+00:00,180.00,0.00
